Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Grand Theft Auto V,PlayStation 3,2013.0,Modern,Rockstar Games  ,6.37,9.85,0.99,3.12,20.32,97.0,50.0,8.3,4779.0,Rockstar North,M
Grand Theft Auto V,PlayStation 4,2014.0,Action Adventure,Rockstar Games  ,6.06,9.71,0.6,3.02,19.39,97.0,66.0,8.4,6864.0,Rockstar North,M
Grand Theft Auto: Vice City,PlayStation 2,2002.0,Action Adventure,Rockstar Games  ,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.8,1254.0,Rockstar North,M
Grand Theft Auto V,Xbox 360,2013.0,Modern,Rockstar Games  ,9.06,5.33,0.06,1.42,15.86,97.0,58.0,8.3,4026.0,Rockstar North,M
Grand Theft Auto III,PlayStation 2,2001.0,Action Adventure,Rockstar Games  ,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.4,1010.0,DMA Design,M
Grand Theft Auto IV,Xbox 360,2008.0,Action Adventure,Rockstar Games  ,6.8,3.11,0.14,1.04,11.09,98.0,86.0,7.9,3543.0,Rockstar North,M
Grand Theft Auto IV,PlayStation 3,2008.0,Action Adventure,Rockstar Games  ,4.79,3.73,0.44,1.62,10.57,98.0,64.0,7.8,4354.0,Rockstar North,M
Grand Theft Auto V,Xbox One,2014.0,Action Adventure,Rockstar Games  ,4.7,3.25,0.01,0.76,8.72,97.0,14.0,7.8,1556.0,Rockstar North,M
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action Adventure,Rockstar Games  ,2.9,2.83,0.24,1.74,7.72,88.0,65.0,7.8,579.0,"Rockstar North, Rockstar Leeds",M
Uncharted 2: Among Thieves,PlayStation 3,2009.0,Action Adventure,Sony Computer Entertainment  ,3.28,2.22,0.21,1.02,6.74,96.0,105.0,8.8,7203.0,Naughty Dog,T
Red Dead Redemption,PlayStation 3,2011.0,Action,Rockstar Games  ,2.82,2.58,0.17,1.0,6.57,95.0,73.0,8.9,3638.0,Rockstar San Diego,M
Red Dead Redemption,Xbox 360,2010.0,Action,Rockstar Games  ,3.77,2.03,0.09,0.6,6.5,95.0,96.0,9.0,3030.0,Rockstar San Diego,M
Driver,PlayStation,1999.0,Driving,GT Interactive  ,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.0,145.0,Reflections Interactive,T
