Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Grand Theft Auto V,PlayStation 3,97,50,8.3,4779,Rockstar North,M,Modern
Grand Theft Auto V,PlayStation 4,97,66,8.4,6864,Rockstar North,M,Action Adventure
Grand Theft Auto: Vice City,PlayStation 2,95,62,8.8,1254,Rockstar North,M,Action Adventure
Grand Theft Auto V,Xbox 360,97,58,8.3,4026,Rockstar North,M,Modern
Grand Theft Auto III,PlayStation 2,97,56,8.4,1010,DMA Design,M,Action Adventure
Grand Theft Auto IV,Xbox 360,98,86,7.9,3543,Rockstar North,M,Action Adventure
Grand Theft Auto IV,PlayStation 3,98,64,7.8,4354,Rockstar North,M,Action Adventure
Grand Theft Auto V,Xbox One,97,14,7.8,1556,Rockstar North,M,Action Adventure
Grand Theft Auto: Liberty City Stories,PSP,88,65,7.8,579,"Rockstar North, Rockstar Leeds",M,Action Adventure
Uncharted 2: Among Thieves,PlayStation 3,96,105,8.8,7203,Naughty Dog,T,Action Adventure
Red Dead Redemption,PlayStation 3,95,73,8.9,3638,Rockstar San Diego,M,Action
Red Dead Redemption,Xbox 360,95,96,9.0,3030,Rockstar San Diego,M,Action
Driver,PlayStation,87,22,8.0,145,Reflections Interactive,T,Driving
Uncharted: The Nathan Drake Collection,PlayStation 4,86,78,8.5,3055,Bluepoint Games,T,Miscellaneous
LEGO Star Wars: The Complete Saga,Wii,80,17,8.7,113,Traveller's Tales,E10+,Action
Assassin's Creed II,PlayStation 3,91,70,8.7,1907,Ubisoft Montreal,M,Action Adventure
Assassin's Creed,Xbox 360,81,77,7.6,1370,Ubisoft Montreal,M,Action Adventure
Batman: Arkham City,PlayStation 3,96,42,8.8,3061,Rocksteady Studios,T,Action Adventure
Assassin's Creed II,Xbox 360,90,82,8.8,1769,Ubisoft Montreal,M,Action Adventure
Resident Evil 5,PlayStation 3,84,76,7.4,902,Capcom,M,Action Adventure
Grand Theft Auto: Vice City Stories,PSP,86,50,8.2,274,Rockstar Leeds,M,Action Adventure
Uncharted: Drake's Fortune,PlayStation 3,88,66,7.9,3642,"Naughty Dog, SCE/WWS",T,Action Adventure
Assassin's Creed,PlayStation 3,81,40,7.3,1075,Ubisoft Montreal,M,Action Adventure
LEGO Star Wars: The Complete Saga,DS,80,9,6.4,75,TT Fusion,E,Action
Batman: Arkham City,Xbox 360,94,87,8.8,1767,Rocksteady Studios,T,Action Adventure
Driver 2,PlayStation,62,14,7.7,148,Reflections Interactive,T,Driving
The Lord of the Rings: The Two Towers,PlayStation 2,82,32,8.1,121,Stormfront Studios,T,Action
Tomb Raider,PlayStation,91,13,8.4,281,Core Design Ltd.,T,Action Adventure
Spider-Man: The Movie,PlayStation 2,76,25,7.7,72,Treyarch,E,Action Adventure
Batman: Arkham Asylum,PlayStation 3,91,70,8.8,1645,Rocksteady Studios,T,Action Adventure
Assassin's Creed: Revelations,PlayStation 3,80,39,7.6,815,Ubisoft Montreal,M,Action Adventure
Assassin's Creed: Revelations,Xbox 360,80,77,7.3,711,Ubisoft Montreal,M,Action Adventure
Assassin's Creed Unity,PlayStation 4,70,40,5.6,2968,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Batman: Arkham Knight,PlayStation 4,87,89,7.9,4388,Rocksteady Studios,M,General
Assassin's Creed Origins,PlayStation 4,81,63,7.2,2994,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Far Cry 5,PlayStation 4,81,83,6.8,2036,Ubisoft Montreal,M,Action
Assassin's Creed Syndicate,PlayStation 4,76,86,6.9,2104,Ubisoft Quebec,M,Historic
Assassin's Creed Unity,Xbox One,72,59,4.6,1195,"Ubisoft, Ubisoft Montreal",,Action Adventure
Grand Theft Auto: Liberty City Stories,PlayStation 2,78,49,7.9,182,Rockstar Leeds,M,Action Adventure
The Getaway,PlayStation 2,72,49,7.0,110,Team Soho,M,Action Adventure
Batman: Arkham Asylum,Xbox 360,92,78,8.7,1329,Rocksteady Studios,T,Action Adventure
Assassin's Creed: Brotherhood,Xbox 360,89,81,8.4,872,Ubisoft Montreal,M,Action Adventure
Resident Evil 5,Xbox 360,83,91,7.4,679,Capcom,M,Action Adventure
Grand Theft Auto 2,PlayStation,70,15,7.7,124,DMA Design,T,Action Adventure
Spider-Man 2,PlayStation 2,80,50,8.7,239,Treyarch,T,Action Adventure
Watch Dogs 2,PlayStation 4,82,95,7.6,1724,Ubisoft Montreal,M,Action Adventure
Star Wars Episode III: Revenge of the Sith,PlayStation 2,60,34,7.3,113,Double Helix Games,T,Action Adventure
The Lord of the Rings: The Return of the King,PlayStation 2,85,31,8.6,175,EA Games,T,Action
True Crime: Streets of LA,PlayStation 2,77,39,7.8,112,"Luxoflux, Inc.",M,Action Adventure
Enter the Matrix,PlayStation 2,62,30,8.2,157,Shiny Entertainment,T,Action Adventure
Spider-Man,PlayStation,87,19,8.6,265,Neversoft Entertainment,E,Action Adventure
Resident Evil 6,PlayStation 3,74,34,5.6,1519,Capcom,M,Action Adventure
Saints Row 2,Xbox 360,81,75,8.2,371,Volition Inc.,M,Action Adventure
Metal Gear Solid V: The Phantom Pain,PlayStation 4,93,86,8.2,5963,"Kojima Productions, Moby Dick Studio",M,Modern
Tom Clancy's Splinter Cell,Xbox,93,46,8.6,149,Ubisoft Montreal,T,Action Adventure
Hitman 2: Silent Assassin,PlayStation 2,85,19,8.0,101,Io Interactive,M,Action Adventure
Assassin's Creed: Brotherhood,PlayStation 3,90,59,8.3,1186,Ubisoft Montreal,M,Action Adventure
Skylanders: Spyro's Adventure,Wii,81,11,5.9,50,Toys for Bob,E10+,Action
Star Wars: The Force Unleashed,Xbox 360,73,74,6.8,490,LucasArts,T,Action
Saints Row: The Third,Xbox 360,84,70,7.7,533,Volition Inc.,M,Action Adventure
LEGO Star Wars II: The Original Trilogy,PlayStation 2,84,32,8.7,75,Traveller's Tales,E10+,Action Adventure
Hannah Montana,DS,,,6.9,13,DC Studios,E,Action
Tom Clancy's Splinter Cell,PlayStation 2,89,24,7.9,135,Ubisoft Shanghai,T,Action Adventure
LEGO Star Wars: The Complete Saga,Xbox 360,80,24,8.0,225,Traveller's Tales,E10+,Action
Saints Row: The Third,PlayStation 3,82,50,7.8,443,Volition Inc.,M,Action Adventure
Assassin's Creed Origins,Xbox One,85,42,7.7,824,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Dying Light,PlayStation 4,74,58,8.0,1708,Techland,M,Horror
Dead Island,Xbox 360,71,75,6.9,658,Techland,M,Action Adventure
The Incredibles,PlayStation 2,62,36,7.8,38,Heavy Iron Studios,T,Action Adventure
Uncharted: The Lost Legacy,PlayStation 4,84,104,8.0,1986,Naughty Dog,T,Action
LEGO Marvel Super Heroes,Xbox 360,80,37,7.8,153,TT Games,E10+,Action Adventure
Assassin's Creed IV: Black Flag,Xbox One,,,7.7,461,Ubisoft,M,Action Adventure
LEGO Star Wars: The Complete Saga,PlayStation 3,80,18,7.2,118,Traveller's Tales,E10+,Action
Dead Island,PlayStation 3,71,41,6.6,445,Techland,M,Action Adventure
Star Wars: The Force Unleashed,PlayStation 3,71,47,6.8,294,LucasArts,T,Action
Metal Gear Solid: Peace Walker,PSP,89,66,8.7,662,Kojima Productions,T,Action Adventure
The Incredibles,Game Boy Advance,55,13,5.3,6,Helixe,E,Action Adventure
Hitman: Absolution,PlayStation 3,83,30,7.5,592,Io Interactive,M,Action Adventure
Tom Clancy's Splinter Cell: Conviction,Xbox 360,85,90,7.7,673,Ubisoft Montreal,M,Action Adventure
Middle-earth: Shadow of War,PlayStation 4,80,69,4.6,1536,Monolith Productions,M,Action Adventure
Peter Jackson's King Kong: The Official Game of the Movie,PlayStation 2,82,41,8.4,106,Ubisoft Montpellier,T,Action Adventure
